AnzahlInstanzen,AnzahlRechtecke,minWidth,maxWidth,minHeight,maxHeight,BoxLength,Algorithmus,AvgBoxes,AvgTimeMs
5,50,10,30,10,30,100,SA-Geo-Tuned,3.0,11.3701164
5,50,10,30,10,30,100,SA-Overlap-Tuned,3.0,8.334958199999999
5,50,10,30,10,30,100,Regelbasiert,3.0,34.5571336
5,50,10,30,10,30,100,Greedy (Fläche absteigend),3.0,4.18795
5,50,10,30,10,30,100,Greedy (Breite aufsteigend),3.0,3.8630834
5,200,10,50,10,50,120,SA-Geo-Tuned,15.4,77.1616582
5,200,10,50,10,50,120,SA-Overlap-Tuned,14.8,82.73781679999999
5,200,10,50,10,50,120,Regelbasiert,14.6,212.11873359999998
5,200,10,50,10,50,120,Greedy (Fläche absteigend),13.6,84.3820248
5,200,10,50,10,50,120,Greedy (Breite aufsteigend),15.8,74.4861086
3,1000,20,80,20,80,100,SA-Geo-Tuned,298.3333333333333,1409.3377916666668
3,1000,20,80,20,80,100,SA-Overlap-Tuned,298.0,1288.4489303333332
3,1000,20,80,20,80,100,Regelbasiert,306.6666666666667,1284.7256806666667
3,1000,20,80,20,80,100,Greedy (Fläche absteigend),271.6666666666667,1011.0794726666667
3,1000,20,80,20,80,100,Greedy (Breite aufsteigend),376.3333333333333,832.3240973333335
